,Intensidad,Magnitud
791,1.0,4.7
792,1.0,5.2
793,1.0,5.2
794,1.0,5.2
795,1.0,4.6
796,1.0,4.4
797,2.9,4.5
798,2.9,4.5
799,2.9,5.3
800,2.9,3.8
801,2.9,4.6
802,2.9,4.6
803,2.9,4.4
804,2.9,4.4
805,2.9,4.7
806,3.4,4.5
807,3.4,4.5
808,3.4,4.5
809,3.4,4.5
810,3.4,4.5
811,3.4,4.5
812,3.4,4.5
813,3.4,4.5
814,3.4,5.0
815,3.4,5.0
816,3.4,5.5
817,3.4,4.3
818,3.4,4.3
819,3.4,4.8
820,3.4,5.3
821,3.4,5.3
822,3.4,4.6
823,3.4,4.6
824,3.4,4.6
825,3.4,4.6
826,3.4,4.6
827,3.4,5.1
828,3.4,5.6
829,3.4,6.1
830,3.4,6.1
831,3.4,4.4
832,3.4,4.4
833,3.4,4.4
834,3.4,4.4
835,3.4,4.4
836,3.4,4.9
837,3.4,4.9
838,3.4,4.9
839,3.4,4.2
840,3.4,4.7
841,3.4,4.7
842,3.4,4.7
843,3.4,4.7
844,3.4,4.7
845,3.4,4.7
846,3.4,5.2
847,3.4,4.4
848,3.9,4.5
849,3.9,4.5
850,3.9,5.0
851,3.9,4.8
852,3.9,5.8
853,3.9,5.1
854,3.9,5.4
855,3.9,6.2
856,4.3,4.8
857,4.3,4.8
858,4.3,5.3
859,4.3,5.3
860,4.3,4.6
861,4.3,4.6
862,4.3,5.1
863,4.3,6.1
864,4.3,6.6
865,4.3,4.4
866,4.3,4.4
867,4.3,4.9
868,4.3,5.4
869,4.3,5.9
870,4.8,4.5
871,4.8,5.0
872,4.8,5.0
873,4.8,4.6
874,4.8,5.1
875,4.8,4.9
876,5.3,5.0
877,5.3,4.8
878,5.3,5.1
879,5.3,5.6
880,5.3,5.6
881,3.3,4.5
882,3.3,5.0
883,3.3,3.9
884,3.3,4.6
885,3.3,4.9
886,3.8,4.5
887,3.8,4.5
888,3.8,4.5
889,3.8,4.5
890,3.8,5.0
891,3.8,5.0
892,3.8,4.8
893,3.8,4.8
894,3.8,4.8
895,3.8,4.8
896,3.8,4.8
897,3.8,4.8
898,3.8,5.3
899,3.8,5.3
900,3.8,5.3
901,3.8,5.8
902,3.8,4.6
903,3.8,4.6
904,3.8,5.1
905,3.8,5.6
906,3.8,4.4
907,3.8,4.4
908,3.8,4.9
909,3.8,4.9
910,3.8,4.9
911,3.8,5.4
912,3.8,4.2
913,3.8,4.7
914,3.8,4.7
915,3.8,4.7
916,3.8,4.7
917,3.8,4.7
918,3.8,5.2
919,3.8,5.2
920,3.8,5.2
921,3.8,5.2
922,3.8,5.7
923,3.8,4.9
924,4.1,5.0
925,4.1,5.0
926,4.1,4.3
927,4.1,4.3
928,4.1,4.3
929,4.1,4.8
930,4.1,4.8
931,4.1,4.8
932,4.1,5.3
933,4.1,5.3
934,4.1,5.8
935,4.1,5.8
936,4.1,4.6
937,4.1,4.6
938,4.1,6.1
939,4.1,4.9
940,4.1,4.9
941,4.1,4.9
942,4.1,4.9
943,4.1,4.9
944,4.1,4.7
945,4.1,4.7
946,4.1,4.7
947,4.1,4.7
948,4.1,4.7
949,4.1,4.7
950,4.1,5.2
951,4.1,4.8
952,4.6,4.5
953,4.6,5.5
954,4.6,5.5
955,4.6,4.8
956,4.6,5.3
957,4.6,5.3
958,4.6,5.6
959,4.6,5.4
960,4.6,6.2
961,5.6,5.9
962,5.6,5.9
963,5.6,6.1
964,5.6,5.2
965,2.2,4.0
966,2.2,4.5
967,2.2,4.5
968,2.2,4.5
969,2.2,4.5
970,2.2,5.0
971,2.2,5.0
972,2.2,6.0
973,2.2,4.8
974,2.2,4.8
975,2.2,4.6
976,2.2,4.6
977,2.2,4.6
978,2.2,4.6
979,2.2,4.6
980,2.2,5.1
981,2.2,5.1
982,2.2,6.1
983,2.2,4.4
984,2.2,4.4
985,2.2,4.4
986,2.2,4.4
987,2.2,4.9
988,2.2,4.2
989,2.2,4.2
990,2.2,4.7
991,2.2,4.7
992,2.2,4.7
993,2.2,4.7
994,2.7,4.0
995,2.7,4.5
996,2.7,4.5
997,2.7,4.5
998,2.7,4.5
999,2.7,4.5
1000,2.7,5.0
1001,2.7,5.0
1002,2.7,5.0
1003,2.7,4.3
1004,2.7,4.3
1005,2.7,4.3
1006,2.7,4.3
1007,2.7,4.3
1008,2.7,4.3
1009,2.7,4.3
1010,2.7,4.8
1011,2.7,5.8
1012,2.7,4.1
1013,2.7,4.6
1014,2.7,4.6
1015,2.7,4.6
1016,2.7,4.6
1017,2.7,4.6
1018,2.7,4.6
1019,2.7,4.6
1020,2.7,4.6
1021,2.7,5.1
1022,2.7,5.6
1023,2.7,4.4
1024,2.7,4.4
1025,2.7,4.4
1026,2.7,4.4
1027,2.7,4.4
1028,2.7,4.4
1029,2.7,4.9
1030,2.7,5.4
1031,2.7,4.2
1032,2.7,4.2
1033,2.7,4.2
1034,2.7,4.2
1035,2.7,4.2
1036,2.7,4.2
1037,2.7,4.7
1038,2.7,4.7
1039,2.7,4.7
1040,2.7,4.7
1041,2.7,4.7
1042,2.7,6.2
1043,2.7,4.6
1044,5.4,5.0
1045,5.4,5.5
1046,5.4,5.5
1047,5.4,4.8
1048,5.4,5.8
1049,5.4,5.1
1050,5.4,6.9
1051,5.4,5.2
1052,5.4,5.2
1053,5.4,6.2
1054,3.1,4.5
1055,3.1,4.5
1056,3.1,4.5
1057,3.1,4.5
1058,3.1,4.5
1059,3.1,4.5
1060,3.1,4.5
1061,3.1,5.0
1062,3.1,5.0
1063,3.1,5.0
1064,3.1,5.0
1065,3.1,4.3
1066,3.1,4.8
1067,3.1,4.8
1068,3.1,4.8
1069,3.1,5.3
1070,3.1,3.8
1071,3.1,4.1
1072,3.1,4.6
1073,3.1,4.6
1074,3.1,4.6
1075,3.1,4.6
1076,3.1,4.6
1077,3.1,4.6
1078,3.1,4.6
1079,3.1,4.6
1080,3.1,5.1
1081,3.1,3.2
1082,3.1,4.4
1083,3.1,4.4
1084,3.1,4.4
1085,3.1,4.9
1086,3.1,4.9
1087,3.1,4.9
1088,3.1,4.9
1089,3.1,5.4
1090,3.1,3.1
1091,3.1,4.2
1092,3.1,4.2
1093,3.1,4.7
1094,3.1,4.7
1095,3.1,4.7
1096,3.1,4.7
1097,3.1,4.7
1098,3.1,5.2
1099,3.1,5.2
1100,3.1,5.7
1101,3.1,4.3
1102,3.1,4.4
1103,3.6,4.9
1104,3.6,4.7
1105,4.2,5.6
1106,2.8,4.6
1107,2.5,4.5
1108,6.0,5.1
1109,1.0,4.5
1110,1.0,4.1
1111,2.9,4.9
1112,3.9,4.4
1113,3.8,4.6
1114,4.1,4.6
1115,2.7,4.4
1116,3.1,4.3
1117,3.1,4.9
1118,4.5,4.4
1119,2.0,4.3
1120,1.0,4.0
1121,1.0,4.0
1122,1.0,4.0
1123,1.0,5.0
1124,1.0,4.1
1125,1.0,4.1
1126,1.0,4.6
1127,1.0,4.2
1128,3.4,4.8
1129,4.8,4.9
1130,4.6,4.6
1131,5.9,5.8
1132,6.0,4.2
1133,1.0,4.2
1134,3.4,4.5
1135,3.4,4.6
1136,5.3,4.6
1137,2.7,4.6
1138,3.1,4.6
1139,3.1,4.9
1140,3.1,4.2
1141,6.8,5.8
1142,1.0,4.3
1143,4.8,6.8
1144,4.1,4.3
1145,3.7,5.0
1146,3.0,5.3
1147,5.8,5.8
1148,6.3,6.3
1149,6.1,6.3
1150,6.1,6.3
1151,7.9,6.8
1152,8.1,6.8
1153,3.7,5.1
1154,6.3,5.6
1155,4.4,5.6
1156,6.1,6.6
1157,2.6,4.9
1158,2.8,4.9
1159,7.3,6.9
1160,7.3,5.7
1161,6.4,5.7
1162,4.0,6.2
1163,3.7,6.2
1164,5.8,6.7
1165,6.8,7.7
1166,2.0,4.5
1167,2.0,4.5
1168,2.0,5.0
1169,2.0,4.6
1170,2.0,4.6
1171,2.0,4.6
1172,2.0,5.1
1173,2.0,4.4
1174,2.0,4.9
1175,2.0,4.9
1176,2.0,4.9
1177,2.0,5.9
1178,2.0,4.7
1179,2.0,4.7
1180,2.0,5.2
1181,2.0,5.2
1182,2.0,4.3
1183,2.5,4.3
1184,2.5,4.3
1185,2.5,4.6
1186,2.5,4.4
1187,2.5,4.9
1188,2.5,5.9
1189,2.5,6.2
1190,5.0,6.7
1191,6.0,7.3
1192,1.0,4.0
1193,1.0,4.0
1194,1.0,4.0
1195,1.0,4.0
1196,1.0,4.0
1197,1.0,4.5
1198,1.0,4.5
1199,1.0,4.5
1200,1.0,4.5
1201,1.0,4.5
1202,1.0,4.5
1203,1.0,4.5
1204,1.0,4.5
1205,1.0,4.5
1206,1.0,4.5
1207,1.0,4.5
1208,1.0,4.5
1209,1.0,4.5
1210,1.0,4.5
1211,1.0,4.5
1212,1.0,4.5
1213,1.0,4.5
1214,1.0,4.5
1215,1.0,4.5
1216,1.0,4.5
1217,1.0,4.5
1218,1.0,4.5
1219,1.0,5.0
1220,1.0,5.0
1221,1.0,3.9
1222,1.0,4.3
1223,1.0,4.3
1224,1.0,4.3
1225,1.0,4.3
1226,1.0,4.3
1227,1.0,4.3
1228,1.0,4.3
1229,1.0,4.3
1230,1.0,4.3
1231,1.0,4.3
1232,1.0,4.3
1233,1.0,4.3
1234,1.0,4.3
1235,1.0,4.3
1236,1.0,4.3
1237,1.0,4.3
1238,1.0,4.3
1239,1.0,4.3
1240,1.0,4.3
1241,1.0,4.3
1242,1.0,4.3
1243,1.0,4.3
1244,1.0,4.3
1245,1.0,4.3
1246,1.0,4.8
1247,1.0,4.8
1248,1.0,4.8
1249,1.0,4.8
1250,1.0,4.8
1251,1.0,4.8
1252,1.0,4.8
1253,1.0,4.1
1254,1.0,4.1
1255,1.0,4.1
1256,1.0,4.1
1257,1.0,4.1
1258,1.0,4.1
1259,1.0,4.1
1260,1.0,4.1
1261,1.0,4.1
1262,1.0,4.1
1263,1.0,4.1
1264,1.0,4.1
1265,1.0,4.1
1266,1.0,4.1
1267,1.0,4.1
1268,1.0,4.1
1269,1.0,4.1
1270,1.0,4.1
1271,1.0,4.6
1272,1.0,4.6
1273,1.0,4.6
1274,1.0,4.6
1275,1.0,4.6
1276,1.0,4.6
1277,1.0,4.6
1278,1.0,4.6
1279,1.0,4.6
1280,1.0,4.6
1281,1.0,4.6
1282,1.0,4.6
1283,1.0,4.6
1284,1.0,4.6
1285,1.0,4.6
1286,1.0,4.6
1287,1.0,4.6
1288,1.0,4.6
1289,1.0,4.6
1290,1.0,4.6
1291,1.0,5.1
1292,1.0,4.4
1293,1.0,4.4
1294,1.0,4.4
1295,1.0,4.4
1296,1.0,4.4
1297,1.0,4.4
1298,1.0,4.4
1299,1.0,4.4
1300,1.0,4.4
1301,1.0,4.4
1302,1.0,4.4
1303,1.0,4.4
1304,1.0,4.4
1305,1.0,4.4
1306,1.0,4.4
1307,1.0,4.4
1308,1.0,4.4
1309,1.0,4.4
1310,1.0,4.4
1311,1.0,4.4
1312,1.0,4.4
1313,1.0,4.4
1314,1.0,4.4
1315,1.0,4.4
1316,1.0,4.4
1317,1.0,4.4
1318,1.0,4.4
1319,1.0,4.4
1320,1.0,4.9
1321,1.0,4.9
1322,1.0,4.9
1323,1.0,4.9
1324,1.0,4.9
1325,1.0,4.9
1326,1.0,4.9
1327,1.0,5.4
1328,1.0,4.2
1329,1.0,4.2
1330,1.0,4.2
1331,1.0,4.2
1332,1.0,4.2
1333,1.0,4.2
1334,1.0,4.2
1335,1.0,4.2
1336,1.0,4.2
1337,1.0,4.2
1338,1.0,4.2
1339,1.0,4.2
1340,1.0,4.2
1341,1.0,4.7
1342,1.0,4.7
1343,1.0,4.7
1344,1.0,4.7
1345,1.0,4.7
1346,1.0,4.7
1347,1.0,4.7
1348,1.0,4.7
1349,1.0,4.7
1350,1.0,4.7
1351,1.0,4.7
1352,1.0,4.7
1353,1.0,5.2
1354,1.0,5.2
1355,1.0,5.2
1356,2.9,4.8
